# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
498000 0.176 0.7 1.728 3.256
499000 0.202 0.694 1.598 3.212
500000 0.216 0.706 1.742 3.408
501000 0.21 0.704 1.736 3.324
502000 0.204 0.678 1.644 3.21
503000 0.23 0.742 1.732 3.316
504000 0.204 0.656 1.62 3.206
505000 0.21 0.668 1.704 3.178
506000 0.246 0.764 1.774 3.372
507000 0.232 0.78 1.742 3.306
508000 0.208 0.724 1.642 3.284
509000 0.238 0.744 1.66 3.27
510000 0.194 0.658 1.554 3.182
511000 0.196 0.688 1.692 3.38
512000 0.24 0.774 1.796 3.422
513000 0.222 0.768 1.768 3.342
514000 0.174 0.676 1.628 3.264
515000 0.218 0.714 1.654 3.22
516000 0.224 0.772 1.678 3.222
517000 0.194 0.72 1.74 3.348
518000 0.204 0.712 1.714 3.38
519000 0.206 0.682 1.584 3.216
520000 0.21 0.698 1.666 3.264
521000 0.262 0.782 1.736 3.374
522000 0.238 0.772 1.796 3.406
523000 0.224 0.728 1.82 3.378
524000 0.192 0.656 1.712 3.254
525000 0.214 0.736 1.66 3.252
526000 0.22 0.71 1.738 3.378
527000 0.202 0.708 1.722 3.346
528000 0.226 0.686 1.65 3.236
529000 0.2 0.734 1.708 3.198
530000 0.206 0.676 1.728 3.206
531000 0.196 0.762 1.768 3.484
532000 0.25 0.814 1.788 3.368
533000 0.25 0.768 1.748 3.398
534000 0.218 0.716 1.716 3.258
535000 0.244 0.736 1.716 3.316
536000 0.198 0.706 1.74 3.228
537000 0.212 0.704 1.796 3.388
538000 0.218 0.724 1.678 3.216
539000 0.244 0.75 1.618 3.164
540000 0.196 0.728 1.734 3.378
541000 0.236 0.708 1.65 3.25
542000 0.192 0.71 1.726 3.332
543000 0.204 0.722 1.644 3.27
544000 0.198 0.704 1.65 3.316
545000 0.202 0.696 1.71 3.298
546000 0.218 0.692 1.718 3.216
547000 0.28 0.798 1.762 3.332
548000 0.256 0.784 1.772 3.356
549000 0.232 0.694 1.652 3.338
550000 0.19 0.742 1.68 3.256
551000 0.206 0.738 1.746 3.35
552000 0.21 0.696 1.624 3.296
553000 0.198 0.662 1.678 3.28
554000 0.232 0.742 1.664 3.312
555000 0.202 0.706 1.652 3.252
556000 0.2 0.684 1.7 3.304
557000 0.232 0.744 1.744 3.412
558000 0.196 0.714 1.672 3.318
559000 0.216 0.74 1.736 3.316
560000 0.214 0.672 1.604 3.142
561000 0.178 0.688 1.604 3.084
562000 0.2 0.69 1.576 3.084
563000 0.18 0.668 1.69 3.236
564000 0.228 0.664 1.634 3.126
565000 0.23 0.704 1.696 3.116
566000 0.196 0.696 1.664 3.29
567000 0.246 0.696 1.638 3.166
568000 0.198 0.67 1.666 3.254
569000 0.242 0.78 1.76 3.44
570000 0.234 0.708 1.696 3.23
571000 0.234 0.736 1.728 3.29
572000 0.23 0.704 1.668 3.236
573000 0.19 0.708 1.614 3.272
574000 0.194 0.696 1.572 3.218
575000 0.176 0.696 1.674 3.274
576000 0.184 0.676 1.59 3.238
577000 0.204 0.754 1.762 3.394
578000 0.214 0.758 1.784 3.428
579000 0.19 0.768 1.72 3.27
580000 0.206 0.704 1.682 3.228
581000 0.194 0.7 1.688 3.302
582000 0.214 0.678 1.738 3.462
583000 0.238 0.73 1.682 3.378
584000 0.242 0.742 1.662 3.256
585000 0.196 0.708 1.63 3.242
586000 0.188 0.678 1.652 3.298
587000 0.192 0.68 1.626 3.24
588000 0.206 0.694 1.68 3.33
589000 0.194 0.688 1.73 3.39
590000 0.214 0.678 1.702 3.232
591000 0.194 0.694 1.658 3.266
592000 0.26 0.838 1.746 3.288
593000 0.212 0.734 1.642 3.234
594000 0.21 0.676 1.61 3.228
595000 0.24 0.784 1.804 3.422
596000 0.198 0.714 1.682 3.356
597000 0.242 0.754 1.728 3.308
598000 0.196 0.708 1.688 3.272
599000 0.206 0.698 1.712 3.334
600000 0.254 0.752 1.662 3.24
601000 0.188 0.682 1.646 3.248
602000 0.2 0.752 1.688 3.182
603000 0.24 0.738 1.646 3.23
604000 0.224 0.722 1.646 3.264
605000 0.208 0.674 1.574 3.122
606000 0.202 0.724 1.688 3.25
607000 0.2 0.678 1.678 3.258
608000 0.208 0.71 1.718 3.376
609000 0.188 0.698 1.678 3.33
610000 0.152 0.686 1.604 3.294
611000 0.214 0.686 1.624 3.24
612000 0.206 0.724 1.75 3.366
613000 0.214 0.746 1.676 3.326
614000 0.18 0.664 1.708 3.282
615000 0.2 0.678 1.718 3.268
616000 0.234 0.69 1.624 3.304
617000 0.228 0.7 1.696 3.378
618000 0.2 0.704 1.722 3.3
619000 0.228 0.738 1.678 3.376
620000 0.182 0.704 1.716 3.274
621000 0.176 0.678 1.682 3.208
622000 0.236 0.714 1.744 3.44
623000 0.2 0.68 1.704 3.284
624000 0.212 0.688 1.7 3.402
625000 0.218 0.714 1.776 3.372
626000 0.248 0.718 1.628 3.208
627000 0.188 0.704 1.676 3.348
628000 0.226 0.694 1.624 3.226
629000 0.196 0.72 1.712 3.322
630000 0.23 0.684 1.6 3.288
631000 0.204 0.692 1.696 3.358
632000 0.204 0.732 1.646 3.254
633000 0.21 0.688 1.662 3.338
634000 0.222 0.696 1.638 3.176
635000 0.218 0.698 1.708 3.364
636000 0.186 0.672 1.608 3.246
637000 0.174 0.684 1.666 3.336
638000 0.222 0.712 1.674 3.246
639000 0.218 0.688 1.672 3.28
640000 0.212 0.766 1.748 3.34
641000 0.222 0.75 1.674 3.29
642000 0.2 0.712 1.706 3.366
643000 0.234 0.764 1.706 3.3
644000 0.214 0.734 1.722 3.242
645000 0.198 0.704 1.712 3.358
646000 0.21 0.728 1.732 3.326
647000 0.216 0.732 1.712 3.332
648000 0.242 0.782 1.742 3.346
649000 0.182 0.698 1.742 3.342
650000 0.206 0.666 1.654 3.33
651000 0.208 0.716 1.666 3.268
652000 0.248 0.754 1.746 3.424
653000 0.248 0.774 1.814 3.478
654000 0.202 0.742 1.756 3.322
655000 0.206 0.712 1.696 3.298
656000 0.222 0.726 1.702 3.346
657000 0.192 0.672 1.636 3.274
658000 0.226 0.728 1.692 3.262
659000 0.214 0.754 1.73 3.358
660000 0.218 0.776 1.69 3.272
661000 0.228 0.71 1.74 3.258
662000 0.202 0.718 1.744 3.344
663000 0.234 0.72 1.69 3.236
664000 0.214 0.682 1.61 3.224
665000 0.192 0.664 1.654 3.254
666000 0.168 0.654 1.652 3.248
667000 0.212 0.714 1.672 3.226
668000 0.208 0.708 1.7 3.248
669000 0.196 0.642 1.658 3.234
670000 0.216 0.664 1.612 3.198
671000 0.236 0.734 1.694 3.286
672000 0.194 0.638 1.684 3.236
673000 0.21 0.722 1.74 3.334
674000 0.208 0.67 1.564 3.198
675000 0.222 0.736 1.654 3.364
676000 0.206 0.688 1.694 3.328
677000 0.234 0.714 1.654 3.25
678000 0.184 0.71 1.662 3.336
679000 0.212 0.714 1.638 3.206
680000 0.172 0.698 1.61 3.206
681000 0.188 0.724 1.692 3.27
682000 0.22 0.712 1.668 3.256
683000 0.218 0.7 1.754 3.41
684000 0.208 0.712 1.686 3.378
